MSG_ADJUSTZ "Auto Z einstellen?"
MSG_LOADING_COLOR "Lade Farbe"
MSG_LOADING_FILAMENT "Filament leadt"
MSG_LOOSE_PULLEY "Lose Riemenscheibe"
MSG_M104_INVALID_EXTRUDER "M104 Falscher Extruder"
MSG_M105_INVALID_EXTRUDER "M105 Falscher Extruder"
MSG_M109_INVALID_EXTRUDER "M109 Falscher Extruder"
MSG_M117_V2_CALIBRATION "M117 Erste-Schicht Kal."
MSG_M119_REPORT "Statusbericht Endanschlag"
MSG_M200_INVALID_EXTRUDER "M200 Falscher Extruder"
MSG_M218_INVALID_EXTRUDER "M218 Falscher Extruder"
MSG_M221_INVALID_EXTRUDER "M221 Falscher Extruder"
MSG_MAIN "Hauptmenue"
MSG_MARK_FIL "Filament 100mm vom Extrudergehaeuse markieren. Klicken wenn Fertig."
MSG_MAX " \002 Max"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE1 "Messen der Referenzhoehe des Kalibrierpunktes"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE2 " von 9"
MSG_MEASURED_SKEW "Schraeglauf:"
MSG_MENU_CALIBRATION "Kalibrierung"
MSG_MESH_BED_LEVELING "Mesh Bett Leveling"
MSG_MIN " \002 Min"
MSG_MOTION "Bewegung"
MSG_MOVE_AXIS "Achsbewegung"
MSG_MOVE_CARRIAGE_TO_THE_TOP "Kalibrieren von XYZ. Drehen Sie den Knopf bis der obere Anschlag erreicht wird. Klicken Sie den Knopf wenn es ganz oben wird."
MSG_MOVE_CARRIAGE_TO_THE_TOP_Z "Kalibrieren von Z. Drehen Sie den Knopf bis der obere Anschlag erreicht wird. Klicken Sie den Knopf wenn es ganz oben wird."
MSG_MOVE_E "Extruder"
MSG_MOVE_X "Bewege X"
MSG_MOVE_Y "Bewege Y"
MSG_MOVE_Z "Bewege Z"
MSG_NEW_FIRMWARE_AVAILABLE "Neue Firmware Version verfuegbar:"
MSG_NEW_FIRMWARE_PLEASE_UPGRADE "Bitte aktualisieren."
MSG_NO "Nein"
MSG_NO_CARD "Keine SD Karte"
MSG_NO_MOVE "Keine Bewegung."
MSG_NOT_COLOR "Farbe unklar"
MSG_NOT_LOADED "Fil. nicht geladen"
MSG_NOZZLE "Duese"
MSG_NOZZLE1 "Duese2"
MSG_NOZZLE2 "Duese3"
MSG_OK "ok"
MSG_PAPER "Legen ein Blatt Papier unter die Duese waehrend der Kalibrierung der ersten 4 Punkte. Wenn die Duese das Papier einklemmt, Drucker sofort ausschalten"
MSG_PAUSE_PRINT "Druck unterbrech."
MSG_PICK_Z "Waehle Abdruck"
MSG_PID_EXTRUDER "PID Kalibrierung"
MSG_PID_FINISHED "PID Kalib. fertig"
MSG_PID_RUNNING "PID Kalib."
MSG_PINDA_NOT_CALIBRATED "Temperatur wurde nicht kalibriert"
MSG_PINDA_PREHEAT "PINDA erwaermen"
MSG_PLA_FILAMENT_LOADED "Ist PLA Filament geladen?"
MSG_PLANNER_BUFFER_BYTES "  PlannerBufferBytes: "
MSG_PLEASE_LOAD_PLA "Bitte laden Sie zuerst PLA Filament."
MSG_PLEASE_WAIT "Bitte warten"
MSG_POWERUP "Einschalten"
MSG_PREHEAT "Vorwaermen"
MSG_PREHEAT_NOZZLE "Duese Vorwaermen"
MSG_PREPARE_FILAMENT "Filam. bereithalten"
MSG_PRESS "und Knopf druecken"
MSG_PRINT_ABORTED "Druck abgebrochen"
MSG_PRINT_PAUSED "Druck pausiert"
MSG_PRUSA3D "prusa3d.com"
MSG_PRUSA3D_FORUM "forum.prusa3d.com"
MSG_PRUSA3D_HOWTO "howto.prusa3d.com"
MSG_REBOOT "Zum Uebernehmen "
MSG_RECTRACT "Retract"
MSG_REFRESH "\xF8" "Erneuern"
MSG_RESEND "Wiederholen: "
MSG_RESTORE_FAILSAFE "Standardwerte setzen"
MSG_RESUME_PRINT "Fortsetzen"
MSG_RESUMING "Druck fortgesetzt"
MSG_RESUMING_PRINT "Druck weitergehen"
MSG_RIGHT "Rechts:"
MSG_SD_CANT_ENTER_SUBDIR "Zugangsproblem Unterverzeichnis: "
MSG_SD_CANT_OPEN_SUBDIR "Kann Unterverz. nicht oeffnen"
MSG_SD_CARD_OK "SD Karte ok"
MSG_SD_ERR_WRITE_TO_FILE "Fehler beim Schreiben in Datei"
MSG_SD_FILE_OPENED "Datei geoeffnet: "
MSG_SD_FILE_SELECTED "Datei ausgewaehlt"
MSG_SD_INIT_FAIL "SD Init fehlerhaft"
MSG_SD_INSERTED "SD eingesetzt"
MSG_SD_NOT_PRINTING "Kein SD Print"
MSG_SD_OPEN_FILE_FAIL "Fehler beim Oeffnen der Datei: "
MSG_SD_OPENROOT_FAIL "Zugriff auf Basisverzeichnis misslungen"
MSG_SD_PRINTING_BYTE "SD printing byte "
MSG_SD_REMOVED "SD entfernt "
MSG_SD_VOL_INIT_FAIL "Dateisystem Init fehlerhaft"
MSG_SD_WORKDIR_FAIL "Oeffnen Arbeitsverzeichnis misslungen"
MSG_SD_WRITE_TO_FILE "Schreiben der Datei: "
MSG_SELFTEST "Selbsttest       "
MSG_SELFTEST_BEDHEATER "Bett / Heater"
MSG_SELFTEST_COOLING_FAN "Vorderer Luefter?"
MSG_SELFTEST_ENDSTOP "Endstop"
MSG_SELFTEST_ENDSTOP_NOTHIT "Ende nicht getrof."
MSG_SELFTEST_ENDSTOPS "Endschalter"
MSG_SELFTEST_ERROR "Selbtest Fehler!"
MSG_SELFTEST_EXTRUDER_FAN "Linker Luefter?"
MSG_SELFTEST_FAILED "Selbsttest misslung."
MSG_SELFTEST_FAN "Lueftertest"
MSG_SELFTEST_FAN_NO "Dreht nicht"
MSG_SELFTEST_FAN_YES "Dreht"
MSG_SELFTEST_HEATERTHERMISTOR "Heater/Thermistor"
MSG_SELFTEST_CHECK_ALLCORRECT "Alles richtig    "
MSG_SELFTEST_CHECK_BED "Pruefe Bett        "
MSG_SELFTEST_CHECK_ENDSTOPS "Pruefe Endschalter  "
MSG_SELFTEST_CHECK_HOTEND "Pruefe Duese" 
MSG_SELFTEST_CHECK_X "Pruefe X Achse    "
MSG_SELFTEST_CHECK_Y "Pruefe Y Achse    "
MSG_SELFTEST_CHECK_Z "Pruefe Z Achse    "
MSG_SELFTEST_MOTOR "Motor"
MSG_SELFTEST_NOTCONNECTED "Nicht angeschlossen"
MSG_SELFTEST_OK "Selbsttest OK"
MSG_SELFTEST_PLEASECHECK "Bitte pruefe:"
MSG_SELFTEST_START "Selbsttest start "
MSG_SELFTEST_WIRINGERROR "Verdrahtungfehler"
MSG_SERIAL_ERROR_MENU_STRUCTURE "Menuestruktur fehlerhaft"
MSG_SET_HOME_OFFSETS "Abstand vom Ursprung einstellen"
MSG_SET_ORIGIN "Ursprung einstellen"
MSG_SET_TEMPERATURE "Temp. einsetzen"
MSG_SETTINGS "Einstellungen"
MSG_SEVERE_SKEW "Schwerer Schr.:"
MSG_SHOW_END_STOPS "Endschalter Stat."
MSG_SILENT_MODE_OFF "Mode [Hohe Leist]"
MSG_SILENT_MODE_ON "Mode     [leise]"
MSG_SLIGHT_SKEW "Leichter Schr.:"
MSG_SPEED "Geschwindigkeit"
MSG_STATISTICS "Statistiken "
MSG_STATS_FILAMENTUSED "Filamentverbrauch:"
MSG_STATS_PRINTTIME "Druckzeit:  "
MSG_STATS_TOTALFILAMENT "Gesamtfilament:"
MSG_STATS_TOTALPRINTTIME "Totale Druckzeit:"
MSG_STEPPER_TOO_HIGH "Schrittrate zu hoch"
MSG_STOP_PRINT "Druck abbrechen"
MSG_STOPPED "GESTOPPT. "
MSG_STORE_EPROM "Abspeichern"
MSG_SUPPORT "Support"
MSG_SWITCH_PS_OFF "Netzteil AUS"
MSG_SWITCH_PS_ON "Netzteil EIN"
MSG_TAKE_EFFECT "Drucker neu starten"
MSG_TEMP_CALIBRATION "Temp Kalib.         "
MSG_TEMP_CALIBRATION_DONE "Temp. Kalibrierung fertig. Klicken um weiter zu gehen."
MSG_TEMP_CALIBRATION_OFF "Temp. Kal. [OFF]"
MSG_TEMP_CALIBRATION_ON "Temp. Kal. [ON]"
MSG_TEMPERATURE "Temperatur"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_OFF "SD Karte [normal]"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_ON "SD Karte [FlashAir]"
MSG_TUNE "Feineinstellung"
MSG_UNLOAD_ALL "Alles entladen"
MSG_UNLOAD_FILAMENT "Filament entladen"
MSG_UNLOAD_FILAMENT_1 "Filam. 1 entladen"
MSG_UNLOAD_FILAMENT_2 "Filam. 2 entladen"
MSG_UNLOAD_FILAMENT_3 "Filam. 3 entladen"
MSG_UNLOAD_FILAMENT_4 "Filam. 4 entladen"
MSG_UNLOADING_FILAMENT "Filament auswerfen"
MSG_USB_PRINTING "Drucken ueber USB"
MSG_USED "Beim Druck benutzte"
MSG_USERWAIT "Warte auf user..."
MSG_V2_CALIBRATION "Erste-Schicht Kal"
MSG_VOLUMETRIC "Filament"
MSG_VOLUMETRIC_ENABLED "E in mm3"
MSG_WAITING_TEMP "Warten auf Abkuehlung von Heater und Bett."
MSG_WATCH "Information"
MSG_WIZARD "Wizard"
MSG_WIZARD_CALIBRATION_FAILED "Bitte ueberpruefen Sie unser Handbuch und beheben Sie das Problem. Fahren Sie dann mit dem Assistenten fort, indem Sie den Drucker neu starten."
MSG_WIZARD_CLEAN_HEATBED "Bitte reinigen Sie das Heizbett und druecken Sie dann den Knopf."
MSG_WIZARD_DONE "Alles wurde getan. Viel Spass beim Drucken!"
MSG_WIZARD_FILAMENT_LOADED "Ist das Filament geladen?"
MSG_WIZARD_HEATING "Vorheizen der Duese. Bitte warten."
MSG_WIZARD_INSERT_CORRECT_FILAMENT "Bitte laden Sie PLA-Filament und fahren Sie mit dem Assistenten fort, indem Sie den Drucker neu starten."
MSG_WIZARD_LOAD_FILAMENT "Fuehren Sie bitte PLA Filament in den Extruder und bestaetigen Sie den Knopf um es zu laden."
MSG_WIZARD_PLA_FILAMENT "Ist es wirklich PLA Filament?"
MSG_WIZARD_QUIT "Sie koennen immer den Asistenten im Menu neu aufrufen: Kalibrierung -> Assistant"
MSG_WIZARD_REPEAT_V2_CAL "Moechten Sie den letzten Schritt wiederholen um den Abstand zwischen Duese und Druckbett neu einzustellen?"
MSG_WIZARD_RERUN "Der laufende Assistent loescht die aktuelle Kalibrierergebnisse und wird von Anfang an beginnen. Fortsetzen?"
MSG_WIZARD_SELFTEST "Zunaechst fuehre ich den Selbsttest durch um die haeufigsten Probleme bei der Aufbau zu ueberpruefen."
MSG_WIZARD_V2_CAL "Jetzt werde ich den Abstand zwischen Duesenspitze und Druckbett kalibrieren."
MSG_WIZARD_V2_CAL_2 "Ich werde jetzt erste Linie drucken. Waehrend des Druckes koennen Sie die Duese allmaehlich senken indem Sie den Knopf drehen, bis Sie die optimale Hoehe erreichen. Ueberpruefen Sie die Bilder in unserem Handbuch im Kapitel Kalibrierung"
MSG_WIZARD_WELCOME "Hallo, ich bin dein Original Prusa i3 Drucker. Moechten Sie meine Hilfe durch den Setup-Prozess?"
MSG_WIZARD_WILL_PREHEAT "Jetzt werde ich die Duese fuer PLA vorheizen. "
MSG_WIZARD_XYZ_CAL "Ich werde jetzt die XYZ-Kalibrierung durchfuehren. Es wird ca. 12 Minuten dauern"
MSG_WIZARD_Z_CAL "Ich werde jetzt die Z Kalibrierung durchfuehren."
MSG_XYZ_DETAILS "XYZ Kal. Details"
MSG_Y_DISTANCE_FROM_MIN "Y Entfernung vom min"
MSG_YES "Ja"
WELCOME_MSG CUSTOM_MENDEL_NAME " bereit."
