MSG_ADJUSTZ "Autodostroic Z?"
MSG_PID_RUNNING "Kal. PID"
MSG_PINDA_NOT_CALIBRATED "Cieplna kalibracja nie byla przeprowadzona"
MSG_PINDA_PREHEAT "Grzanie PINDA"
MSG_PLA_FILAMENT_LOADED "Fialment PLA jest zaladowany?"
MSG_PLANNER_BUFFER_BYTES "  PlannerBufferBytes: "
MSG_PLEASE_LOAD_PLA "Prosze, najpierw zaladuj filament PLA."
MSG_PLEASE_WAIT "Prosze czekac"
MSG_POWERUP "PowerUp"
MSG_PREHEAT "Grzanie"
MSG_PREHEAT_NOZZLE "Nagrzej dysze!"
MSG_PREPARE_FILAMENT "Przygotuj filament"
MSG_PREPARE_FILAMENT "Przygotuj filament"
MSG_PRESS "Nacisnij przycisk"
MSG_PRINT_ABORTED "Druk przerwany"
MSG_PRINT_PAUSED "Druk zatrzymany"
MSG_PRUSA3D "prusa3d.cz"
MSG_PRUSA3D_FORUM "forum.prusa3d.cz"
MSG_PRUSA3D_HOWTO "howto.prusa3d.cz"
MSG_REBOOT "Restart drukarki"
MSG_REFRESH "\xF8" "Obnovit"
MSG_RESEND "Resend: "
MSG_RESTORE_FAILSAFE "Obnovit vychozi"
MSG_RESUME_PRINT "Kontynuowac"
MSG_RESUMING "Wznowienie druku"
MSG_RESUMING_PRINT "Wznawianie druku"
MSG_RIGHT "Prawy:"
MSG_SD_CANT_ENTER_SUBDIR "Cannot enter subdir: "
MSG_SD_CANT_OPEN_SUBDIR "Cannot open subdir"
MSG_SD_CARD_OK "SD card ok"
MSG_SD_ERR_WRITE_TO_FILE "error writing to file"
MSG_SD_FILE_OPENED "File opened: "
MSG_SD_FILE_SELECTED "File selected"
MSG_SD_INIT_FAIL "SD init fail"
MSG_SD_INSERTED "Karta wlozona"
MSG_SD_NOT_PRINTING "Not SD printing"
MSG_SD_OPEN_FILE_FAIL "open failed, File: "
MSG_SD_OPENROOT_FAIL "openRoot failed"
MSG_SD_PRINTING_BYTE "SD printing byte "
MSG_SD_REMOVED "Karta wyjeta"
MSG_SD_VOL_INIT_FAIL "volume.init failed"
MSG_SD_WORKDIR_FAIL "workDir open failed"
MSG_SD_WRITE_TO_FILE "Writing to file: "
MSG_SELFTEST "Selftest         "
MSG_SELFTEST_BEDHEATER "Bed / Heater"
MSG_SELFTEST_COOLING_FAN "Przedni went. druku?"
MSG_SELFTEST_ENDSTOP "Endstop"
MSG_SELFTEST_ENDSTOP_NOTHIT "Endstop not hit"
MSG_SELFTEST_ENDSTOPS "Endstops"
MSG_SELFTEST_ERROR "Selftest error !"
MSG_SELFTEST_EXTRUDER_FAN "Lewy went na dysze?"
MSG_SELFTEST_FAILED "Selftest nieudany"
MSG_SELFTEST_FAN "Test wentylatora"
MSG_SELFTEST_FAN_NO "Nie kreci sie"
MSG_SELFTEST_FAN_YES "Kreci sie"
MSG_SELFTEST_HEATERTHERMISTOR "Heater/Thermistor"
MSG_SELFTEST_CHECK_ALLCORRECT "Wszystko OK      "
MSG_SELFTEST_CHECK_BED "Kontrola bed     "
MSG_SELFTEST_CHECK_ENDSTOPS "Kontrola endstops"
MSG_SELFTEST_CHECK_HOTEND "Kontrola hotend  " 
MSG_SELFTEST_CHECK_X "Kontrola X axis  "
MSG_SELFTEST_CHECK_Y "Kontrola Y axis  "
MSG_SELFTEST_CHECK_Z "Kontrola Z axis  "
MSG_SELFTEST_MOTOR "Silnik"
MSG_SELFTEST_NOTCONNECTED "Nie podlaczono   "
MSG_SELFTEST_OK "Self test OK"
MSG_SELFTEST_PLEASECHECK "Skontroluj :"   
MSG_SELFTEST_START "Self test start  "
MSG_SELFTEST_WIRINGERROR "Blad polaczenia"
MSG_SERIAL_ERROR_MENU_STRUCTURE "Error in menu structure"
MSG_SET_HOME_OFFSETS "Nastav pocatek home"
MSG_SET_ORIGIN "Nastav pocatek"
MSG_SET_TEMPERATURE "Ustawic temperature"
MSG_SETTINGS "Ustawienia"
MSG_SEVERE_SKEW "Ostre sciecie:"
MSG_SHOW_END_STOPS "Pokaz krancowki"
MSG_SILENT_MODE_OFF "Tryb[w wydajnosc]"
MSG_SILENT_MODE_ON "Tryb      [cichy]"
MSG_SLIGHT_SKEW "Lekkie sciecie:"
MSG_SPEED "Predkosc"
MSG_STATISTICS "Statystyka  "
MSG_STATS_FILAMENTUSED "Filament :  "
MSG_STATS_PRINTTIME "Czas druku :  "
MSG_STATS_TOTALFILAMENT "Filament lacznie :"
MSG_STATS_TOTALPRINTTIME "Czas calkowity :"
MSG_STEPPER_TOO_HIGH "Steprate too high: "
MSG_STOP_PRINT "Zatrzymac druk"
MSG_STOPPED "STOPPED. "
MSG_STORE_EPROM "Store memory"
MSG_SUPPORT "Pomoc" 
MSG_SWITCH_PS_OFF "Zapnout zdroj"
MSG_SWITCH_PS_ON "Vypnout zdroj"
MSG_TAKE_EFFECT " wprow. zmian"   
MSG_TEMP_CALIBRATION "Ciepl. kal.         "
MSG_TEMP_CALIBRATION_DONE "Cieplna kalibracja zakonczona. Kontynuuj przyciskiem"
MSG_TEMP_CALIBRATION_OFF "Ciepl. kal. [OFF]"
MSG_TEMP_CALIBRATION_ON "Ciepl. kal. [ON]"
MSG_TEMPERATURE "Temperatura"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_OFF "karta SD [normal]"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_ON "karta SD[FlshAir]"
MSG_TUNE "Nastroic"
MSG_UNLOAD_ALL "Wyjac wszystkie"
MSG_UNLOAD_FILAMENT "Wyjac filament"
MSG_UNLOAD_FILAMENT_1 "Wyjac filament 1"
MSG_UNLOAD_FILAMENT_2 "Wyjac filament 2"
MSG_UNLOAD_FILAMENT_3 "Wyjac filament 3"
MSG_UNLOAD_FILAMENT_4 "Wyjac filament 4"
MSG_UNLOADING_FILAMENT "Wysuwam filament"
MSG_USB_PRINTING "Druk z USB  "
MSG_USED "Uzyte przy druku"
MSG_USERWAIT "Wait for user..."
MSG_V2_CALIBRATION "Kal. 1. warstwy"
MSG_VOLUMETRIC "Filament"
MSG_VOLUMETRIC_ENABLED "E in mm3"
MSG_WAITING_TEMP "Oczekiwanie na wychlodzenie dyszy i podkladki."
MSG_WATCH "Informacje"
MSG_WIZARD "Wizard"
MSG_WIZARD_CALIBRATION_FAILED "Prosze sprawdz nasz poradnik i napraw problem. Potem przywroc Wizard restartujac drukarke."
MSG_WIZARD_CLEAN_HEATBED "Prosze oczysc stolik i nacisnij guzik."
MSG_WIZARD_DONE "Gotowe. Udanego druku!"
MSG_WIZARD_FILAMENT_LOADED "Filament jest zaladowany?"
MSG_WIZARD_HEATING "Nagrzewanie dyszy. Prosze czekac."
MSG_WIZARD_INSERT_CORRECT_FILAMENT "Prosze zaladuj filament PLA i przywroc Wizard przez restart drukarki."
MSG_WIZARD_LOAD_FILAMENT "Prosze umiesc filament PLA w ekstruderze i nacisnij przycisk by zaladowac."
MSG_WIZARD_PLA_FILAMENT "Czy to filament PLA?"
MSG_WIZARD_QUIT "Zawsze mozesz przywrocic Wizard przez Kalibracja -> Wizard."
MSG_WIZARD_REPEAT_V2_CAL "Chcesz powtorzyc ostatni krok i przestawic odleglosc miedzy dysza a stolikiem?"
MSG_WIZARD_RERUN "Wlaczenie Wizard usunie obecne dane kalibracyjne i zacznie od nowa. Kontynuowac?"
MSG_WIZARD_SELFTEST "Najpierw wlacze autotest w celu kontrolli najczestszych problemow z montazem."
MSG_WIZARD_V2_CAL "Kalibruje odleglosc miedzy koncowka dyszy a stolikiem."
MSG_WIZARD_V2_CAL_2 "Zaczne drukowac linie. Stopniowo opuszczaj dysze przekrecajac guzik, poki nie uzyskasz optymalnej wysokosci. Sprawdz obrazki w naszym poradniku w rozdz. Kalibracja"
MSG_WIZARD_WELCOME "Czesc, jestem Twoja drukarka Original Prusa i3. Czy potrzebujesz pomocy z instalacja?"
MSG_WIZARD_WILL_PREHEAT "Nagrzewam dysze dla PLA."
MSG_WIZARD_XYZ_CAL "Wlaczam kalibracje xyz. Zajmie to ok. 12 min."
MSG_WIZARD_Z_CAL "Wlaczam kalibracje z."
MSG_XYZ_DETAILS "Szczegoly kal.XYZ"
MSG_Y_DISTANCE_FROM_MIN "Odleglosc Y od min.:"
MSG_YES "Tak"
WELCOME_MSG CUSTOM_MENDEL_NAME " gotowa"
