MSG_ADJUSTZ "Auto doladit Z ?"
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_RIGHT_FAR "Kalibrace XYZ selhala. Pravy predni bod moc vpredu. Srovnejte tiskarnu."
MSG_BED_SKEW_OFFSET_DETECTION_FITTING_FAILED "Kalibrace XYZ selhala. Nahlednete do manualu."
MSG_BED_SKEW_OFFSET_DETECTION_PERFECT "Kalibrace XYZ v poradku. X/Y osy jsou kolme. Gratuluji!"
MSG_BED_SKEW_OFFSET_DETECTION_POINT_NOT_FOUND "Kalibrace XYZ selhala. Kalibracni bod podlozky nenalezen."
MSG_BED_SKEW_OFFSET_DETECTION_SKEW_EXTREME "Kalibrace XYZ v poradku. Zkoseni bude automaticky vyrovnano pri tisku."
MSG_BED_SKEW_OFFSET_DETECTION_SKEW_MILD "Kalibrace XYZ v poradku. X/Y osy mirne zkosene. Dobra prace!"
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_BOTH_FAR "Kalibrace XYZ nepresna. Predni kalibracni body moc vpredu."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_LEFT_FAR "Kalibrace XYZ nepresna. Levy predni bod moc vpredu."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_RIGHT_FAR "Kalibrace XYZ nepresna. Pravy predni bod moc vpredu."
MSG_BEGIN_FILE_LIST "Begin file list"
MSG_CALIBRATE_BED "Kalibrace XYZ"
MSG_CALIBRATE_BED_RESET "Reset XYZ kalibr."
MSG_CALIBRATE_E "Kalibrovat E"
MSG_CALIBRATE_PINDA "Zkalibrovat"
MSG_CALIBRATE_Z_AUTO "Kalibruji Z"
MSG_CALIBRATION_PINDA_MENU "Teplot. kalibrace"
MSG_CARD_MENU "Tisk z SD"
MSG_CLEAN_NOZZLE_E "E kalibrace ukoncena. Prosim ocistete trysku. Po te potvrdte tlacitkem."
MSG_CNG_SDCARD "Vymenit SD"
MSG_CONFIGURATION_VER " Last Updated: "
MSG_CONFIRM_CARRIAGE_AT_THE_TOP "Dojely oba Z voziky k~hornimu dorazu?"
MSG_CONFIRM_NOZZLE_CLEAN "Pro uspesnou kalibraci ocistete prosim tiskovou trysku. Potvrdte tlacitkem."
MSG_CONFIRM_NOZZLE_CLEAN_FIL_ADJ "Filamenty jsou srovnany. Pro uspesnou kalibraci prosim ocistete trysku. Po te potvrdte tlacitkem."
MSG_CONTROL "Kontrola"
MSG_COOLDOWN "Zchladit"
MSG_CORRECTLY "Vymena ok?"
MSG_CRASH_DET_ONLY_IN_NORMAL "\x1b[2JCrash detekce muze\x1b[1;0Hbyt zapnuta pouze v\x1b[2;0HNormal modu"
MSG_CRASH_DET_STEALTH_FORCE_OFF "\x1b[2JPOZOR:\x1b[1;0HCrash detekce\x1b[2;0Hdeaktivovana ve\x1b[3;0HStealth modu"
MSG_CRASH_DETECTED "Detekovan naraz."
MSG_CRASH_DETECTED2 "Naraz detekovan, pokracovat v tisku?"
MSG_CRASHDETECT_NA "Crash det.  [N/A]"
MSG_CRASHDETECT_OFF "Crash det.  [vyp]"
MSG_CRASHDETECT_ON "Crash det.  [zap]"
MSG_CURRENT "Pouze aktualni"
MSG_DATE "Datum:"
MSG_DEFAULT_SETTINGS_LOADED "Neplatne hodnoty nastaveni. Bude pouzito vychozi PID, Esteps atd."
MSG_DISABLE_STEPPERS "Vypnout motory"
MSG_DWELL "Sleep..."
MSG_E_CAL_KNOB "Otacejte tlacitkem dokud znacka nedosahne tela extruderu. Potvrdte tlacitkem."
MSG_END_FILE_LIST "End file list"
MSG_ENDSTOP_HIT "TRIGGERED"
MSG_ENDSTOP_OPEN "open"
MSG_ENDSTOPS_HIT "endstops hit: "
MSG_Enqueing "enqueing \""
MSG_ERR_COLD_EXTRUDE_STOP " cold extrusion prevented"
MSG_ERR_CHECKSUM_MISMATCH "checksum mismatch, Last Line: "
MSG_ERR_KILLED "Printer halted. kill() called!"
MSG_ERR_NO_CHECKSUM "No Checksum with line number, Last Line: "
MSG_ERR_NO_THERMISTORS "No thermistors - no temperature"
MSG_ERR_STOPPED "Printer stopped due to errors. Fix the error and use M999 to restart. (Temperature is reset. Set it after restarting)"
MSG_ERROR "CHYBA:"
MSG_EXTRUDER "Extruder"
MSG_EXTRUDER_1 "Extruder 1"
MSG_EXTRUDER_2 "Extruder 2"
MSG_EXTRUDER_3 "Extruder 3"
MSG_EXTRUDER_4 "Extruder 4"
MSG_FACTOR " \002 Fact"
MSG_FAN_SPEED "Rychlost vent."
MSG_FANS_CHECK_OFF "Kontr. vent.[vyp]"
MSG_FANS_CHECK_ON "Kontr. vent.[zap]"
MSG_FIL_ADJUSTING "Probiha srovnani filamentu. Prosim cekejte."
MSG_FILAMENT_CLEAN "Filament vytlacen a spravne barvy?" 
MSG_FILAMENT_LOADING_T0 "Vlozte filament do extruderu 1. Potvrdte tlacitkem."
MSG_FILAMENT_LOADING_T1 "Vlozte filament do extruderu 2. Potvrdte tlacitkem."
MSG_FILAMENT_LOADING_T2 "Vlozte filament do extruderu 3. Potvrdte tlacitkem."
MSG_FILAMENT_LOADING_T3 "Vlozte filament do extruderu 4. Potvrdte tlacitkem."
MSG_FILAMENT_SENSOR "Senzor filamentu"
MSG_FILAMENTCHANGE "Vymenit filament"
MSG_FILE_CNT "Nektere soubory nebudou setrideny. Maximalni pocet souboru pro setrideni je 100."
MSG_FILE_INCOMPLETE "Soubor nekompletni. Pokracovat?"
MSG_FIND_BED_OFFSET_AND_SKEW_ITERATION "Iterace "
MSG_FIND_BED_OFFSET_AND_SKEW_LINE1 "Hledam kalibracni bod podlozky"
MSG_FIND_BED_OFFSET_AND_SKEW_LINE2 " z 4"
MSG_FINISHING_MOVEMENTS "Dokoncovani pohybu"
MSG_FLOW "Prutok"
MSG_FLOW0 "Prutok 0"
MSG_FLOW1 "Prutok 1"
MSG_FLOW2 "Prutok 2"
MSG_FOLLOW_CALIBRATION_FLOW "Tiskarna nebyla jeste zkalibrovana. Postupujte prosim podle manualu, kapitola Zaciname, odstavec Postup kalibrace."
MSG_FORCE_SELFTEST "Pro kalibraci presneho rehomovani bude nyni spusten selftest."
MSG_FREE_MEMORY " Free Memory: "
MSG_FSENS_AUTOLOAD_NA "F. autozav. [N/A]"
MSG_FSENS_AUTOLOAD_OFF "F. autozav. [vyp]"
MSG_FSENS_AUTOLOAD_ON "F. autozav. [zap]"
MSG_FSENS_NOT_RESPONDING "CHYBA: Filament senzor nereaguje, zkontrolujte zapojeni."
MSG_FSENSOR_NA "Fil. senzor [N/A]"
MSG_FSENSOR_OFF "Fil. senzor [vyp]"
MSG_FSENSOR_ON "Fil. senzor [zap]" 
MSG_FW_VERSION_ALPHA "Pouzivate alpha verzi firmwaru. Jedna se o vyvojovou verzi. Pouzivani teto verze firmware neni doporuceno a muze zpusobit poskozeni tiskarny." 
MSG_FW_VERSION_BETA "Pouzivate beta verzi firmwaru. Jedna se o vyvojovou verzi. Pouzivani teto verze firmware neni doporuceno a muze zpusobit poskozeni tiskarny."
MSG_FW_VERSION_RC "Tato verze firmware je release candidate. Nektere z funkci nemusi pracovat spolehlive."
MSG_FW_VERSION_UNKNOWN "VAROVANI: Neznama, nepodporovana verze firmware. Pouziti na vlastni nebezpeci!"
MSG_HEATING "Zahrivani"
MSG_HEATING_COMPLETE "Zahrivani OK."
MSG_HOMEYZ "Kalibrovat Z"
MSG_HOMEYZ "Kalibrovat Z"
MSG_HOMEYZ_DONE "Kalibrace OK"
MSG_HOMEYZ_DONE "Kalibrace OK"
MSG_HOMEYZ_PROGRESS "Kalibruji Z"
MSG_HOMEYZ_PROGRESS "Kalibruji Z"
MSG_CHANGE_EXTR "Zmenit extruder"
MSG_CHANGE_SUCCESS "Zmena uspesna!"
MSG_CHANGED_BOTH "Varovani: doslo ke zmene typu tiskarny a motherboardu."
MSG_CHANGED_MOTHERBOARD "Varovani: doslo ke zmene typu motherboardu."
MSG_CHANGED_PRINTER "Varovani: doslo ke zmene typu tiskarny."
MSG_CHANGING_FILAMENT "Vymena filamentu!"
MSG_CHECK_IDLER "Prosim otevrete idler a manualne odstrante filament."
MSG_CHOOSE_EXTRUDER "Vyberte extruder:"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE1 "Zlepsuji presnost kalibracniho bodu"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE2 " z 4"
MSG_INFO_EXTRUDER "Extruder info"
MSG_INFO_NOZZLE_FAN "Trysk. vent:"
MSG_INFO_PRINT_FAN "Tisk. vent:"
MSG_INIT_SDCARD "Inic. SD"
MSG_INSERT_FILAMENT "Vlozte filament"
MSG_KILLED "KILLED. "
MSG_LANGUAGE_NAME "Cestina"
MSG_LANGUAGE_SELECT "Vyber jazyka"
MSG_LEFT "Levy:"
MSG_LOAD_ALL "Zavest vse"
MSG_LOAD_EPROM "Ulozit pamet"
MSG_LOAD_FILAMENT "Zavest filament"
MSG_LOAD_FILAMENT_1 "Zavest filament 1"
MSG_LOAD_FILAMENT_2 "Zavest filament 2"
MSG_LOAD_FILAMENT_3 "Zavest filament 3"
MSG_LOAD_FILAMENT_4 "Zavest filament 4"
MSG_LOADING_COLOR "Cisteni barvy"
MSG_LOADING_FILAMENT "Zavadeni filamentu"
MSG_LOOSE_PULLEY "Uvolnena remenicka"
MSG_M104_INVALID_EXTRUDER "M104 Invalid extruder "
MSG_M105_INVALID_EXTRUDER "M105 Invalid extruder "
MSG_M109_INVALID_EXTRUDER "M109 Invalid extruder "
MSG_M117_V2_CALIBRATION "M117 Kal. prvni vrstvy"
MSG_M119_REPORT "Reporting endstop status"
MSG_M200_INVALID_EXTRUDER "M200 Invalid extruder "
MSG_M218_INVALID_EXTRUDER "M218 Invalid extruder "
MSG_M221_INVALID_EXTRUDER "M221 Invalid extruder "
MSG_MAIN "Hlavni nabidka"
MSG_MARK_FIL "Oznacte filament 100 mm od tela extruderu a po te potvrdte tlacitkem."
MSG_MAX " \002 Max"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE1 "Merim referencni vysku kalibracniho bodu"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE2 " z 9"
MSG_MEASURED_SKEW "Merene zkoseni:"
MSG_MENU_BELT_STATUS "Stav remenu"
MSG_MENU_CALIBRATION "Kalibrace"
MSG_MENU_TEMPERATURES "Teploty"
MSG_MENU_VOLTAGES "Napeti"
MSG_MESH_BED_LEVELING "Mesh Bed Leveling"
MSG_MIN " \002 Min"
MSG_MOTION "Pohyb"
MSG_MOVE_AXIS "Posunout osu"
MSG_MOVE_CARRIAGE_TO_THE_TOP "Kalibrace XYZ. Otacenim tlacitka posunte Z osu az k~hornimu dorazu. Potvrdte tlacitkem."
MSG_MOVE_CARRIAGE_TO_THE_TOP_Z "Kalibrace Z. Otacenim tlacitka posunte Z osu az k~hornimu dorazu. Potvrdte tlacitkem."
MSG_MOVE_E "Extruder"
MSG_MOVE_X "Posunout X"
MSG_MOVE_Y "Posunout Y"
MSG_MOVE_Z "Posunout Z"
MSG_NEW_FIRMWARE_AVAILABLE "Vysla nova verze firmware:"
MSG_NEW_FIRMWARE_PLEASE_UPGRADE "Prosim aktualizujte."
MSG_NO "Ne"
MSG_NO_CARD "Zadna SD karta"
MSG_NO_MOVE "No move."
MSG_NOT_COLOR "Barva neni cista"
MSG_NOT_LOADED "Filament nezaveden"
MSG_NOZZLE "Tryska"
MSG_NOZZLE1 "Tryska2"
MSG_NOZZLE2 "Tryska3"
MSG_OK "ok"
MSG_PAPER "Umistete list papiru na podlozku a udrzujte jej pod tryskou behem mereni prvnich 4 bodu. Pokud tryska zachyti papir, vypnete tiskarnu."
MSG_PAUSE_PRINT "Pozastavit tisk"
MSG_PICK_Z "Vyberte vytisk"
MSG_PID_EXTRUDER "PID kalibrace"
MSG_PID_FINISHED "PID kal. ukoncena"
MSG_PID_RUNNING "PID kal.           "
MSG_PINDA_NOT_CALIBRATED "Tiskarna nebyla teplotne zkalibrovana"
MSG_PINDA_PREHEAT "Nahrivani PINDA"
MSG_PLA_FILAMENT_LOADED "Je PLA filament zaveden?"
MSG_PLACE_STEEL_SHEET "Umistete prosim tiskovy plat na heatbed"
MSG_PLANNER_BUFFER_BYTES "  PlannerBufferBytes: "
MSG_PLEASE_LOAD_PLA "Nejdrive zavedte PLA filament prosim."
MSG_PLEASE_WAIT "Prosim cekejte"
MSG_POWERUP "PowerUp"
MSG_PREHEAT "Predehrev"
MSG_PREHEAT_NOZZLE "Predehrejte trysku!"
MSG_PREPARE_FILAMENT "Pripravte filament"
MSG_PRESS "a stisknete tlacitko"
MSG_PRESS_TO_PREHEAT "Pro nahrati trysky a pokracovani stisknete tlacitko."
MSG_PRESS_TO_UNLOAD "Pro vysunuti filamentu stisknete prosim tlacitko"	
MSG_PRINT_ABORTED "Tisk prerusen"
MSG_PRINT_PAUSED "Tisk pozastaven"
MSG_PULL_OUT_FILAMENT "Prosim vyjmete urychlene filament"
MSG_REBOOT "Restartujte tiskarnu"
MSG_RECOVER_PRINT "Detekovan vypadek proudu.Obnovit tisk?"
MSG_RECOVERING_PRINT "Obnovovani tisku    "
MSG_RECTRACT "Rectract"
MSG_REFRESH "\xF8" "Obnovit"
MSG_REMOVE_STEEL_SHEET "Odstrante tiskovy plat z heatbed prosim."
MSG_RESEND "Resend: "
MSG_RESTORE_FAILSAFE "Obnovit vychozi"
MSG_RESUME_PRINT "Pokracovat"
MSG_RESUMING "Obnoveni tisku"
MSG_RESUMING_PRINT "Obnovovani tisku"
MSG_RIGHT "Pravy:"
MSG_SD_CANT_ENTER_SUBDIR "Cannot enter subdir: "
MSG_SD_CANT_OPEN_SUBDIR "Cannot open subdir"
MSG_SD_CARD_OK "SD card ok"
MSG_SD_ERR_WRITE_TO_FILE "error writing to file"
MSG_SD_FILE_OPENED "File opened: "
MSG_SD_FILE_SELECTED "File selected"
MSG_SD_INIT_FAIL "SD init fail"
MSG_SD_INSERTED "Karta vlozena"
MSG_SD_NOT_PRINTING "Not SD printing"
MSG_SD_OPEN_FILE_FAIL "open failed, File: "
MSG_SD_OPENROOT_FAIL "openRoot failed"
MSG_SD_PRINTING_BYTE "SD printing byte "
MSG_SD_REMOVED "Karta vyjmuta"
MSG_SD_VOL_INIT_FAIL "volume.init failed"
MSG_SD_WORKDIR_FAIL "workDir open failed"
MSG_SD_WRITE_TO_FILE "Writing to file: "
MSG_SECOND_SERIAL_OFF "RPi port    [vyp]"
MSG_SECOND_SERIAL_ON "RPi port    [zap]"
MSG_SELFTEST "Selftest         "
MSG_SELFTEST_AXIS "Osa"
MSG_SELFTEST_AXIS_LENGTH "Delka osy"
MSG_SELFTEST_BEDHEATER "Bed / Heater"
MSG_SELFTEST_COOLING_FAN "Predni tiskovy vent?"
MSG_SELFTEST_ENDSTOP "Endstop"
MSG_SELFTEST_ENDSTOP_NOTHIT "Endstop not hit"
MSG_SELFTEST_ENDSTOPS "Endstops"
MSG_SELFTEST_ERROR "Selftest error !"
MSG_SELFTEST_EXTRUDER_FAN "Levy vent na trysce?"
MSG_SELFTEST_EXTRUDER_FAN_SPEED "Levy vent.:"
MSG_SELFTEST_FAILED "Selftest selhal  "
MSG_SELFTEST_FAN "Test ventilatoru"
MSG_SELFTEST_FAN_NO "Netoci se"
MSG_SELFTEST_FAN_YES "Toci se"
MSG_SELFTEST_FANS "Predni/levy vent."
MSG_SELFTEST_FILAMENT_SENSOR "Senzor filamentu:"
MSG_SELFTEST_HEATERTHERMISTOR "Heater/Thermistor"
MSG_SELFTEST_CHECK_ALLCORRECT "Vse OK           "
MSG_SELFTEST_CHECK_BED "Kontrola bed     "
MSG_SELFTEST_CHECK_ENDSTOPS "Kontrola endstops"
MSG_SELFTEST_CHECK_FSENSOR "Kontrola senzoru"
MSG_SELFTEST_CHECK_HOTEND "Kontrola hotend  "  
MSG_SELFTEST_CHECK_X "Kontrola X axis  "
MSG_SELFTEST_CHECK_Y "Kontrola Y axis  "
MSG_SELFTEST_CHECK_Z "Kontrola Z axis  "
MSG_SELFTEST_MOTOR "Motor"
MSG_SELFTEST_NOTCONNECTED "Nezapojeno    "
MSG_SELFTEST_OK "Self test OK"
MSG_SELFTEST_PLEASECHECK "Zkontrolujte :"	
MSG_SELFTEST_PRINT_FAN_SPEED "Tiskovy vent.:"
MSG_SELFTEST_START "Self test start  "
MSG_SELFTEST_SWAPPED "Prohozene"
MSG_SELFTEST_WIRINGERROR "Chyba zapojeni"
MSG_SERIAL_ERROR_MENU_STRUCTURE "Error in menu structure"
MSG_SET_HOME_OFFSETS "Nastav pocatek home"
MSG_SET_ORIGIN "Nastav pocatek"
MSG_SET_TEMPERATURE "Nastavte teplotu:"
MSG_SETTINGS "Nastaveni"
MSG_SEVERE_SKEW "Tezke zkoseni:"
MSG_SHOW_END_STOPS "Stav konc. spin."
MSG_SILENT_MODE_OFF "Mod  [vys. vykon]" 
MSG_SILENT_MODE_ON "Mod       [tichy]"
MSG_SLIGHT_SKEW "Lehke zkoseni:"
MSG_SORT_ALPHA "Trideni [Abeceda]"
MSG_SORT_NONE "Trideni   [Zadne]"
MSG_SORT_TIME "Trideni     [Cas]"
MSG_SORTING "Trideni souboru"
MSG_SPEED "Rychlost"
MSG_STACK_ERROR "Chyba - Doslo k prepisu staticke pameti!"
MSG_STATISTICS "Statistika  "
MSG_STATS_FILAMENTUSED "Filament :  "
MSG_STATS_PRINTTIME "Cas tisku :  "
MSG_STATS_TOTALFILAMENT "Filament celkem :"
MSG_STATS_TOTALPRINTTIME "Celkovy cas :"
MSG_STEALTH_MODE_OFF "Mod      [Normal]"
MSG_STEALTH_MODE_ON "Mod     [Stealth]"
MSG_STEEL_SHEET_CHECK "Je tiskovy plat na heatbed?"
MSG_STEPPER_TOO_HIGH "Steprate too high: "
MSG_STOP_PRINT "Zastavit tisk"
MSG_STOPPED "STOPPED. "
MSG_STORE_EPROM "Store memory"
MSG_SUPPORT "Podpora"
MSG_SWITCH_PS_OFF "Zapnout zdroj"
MSG_SWITCH_PS_ON "Vypnout zdroj"
MSG_TAKE_EFFECT " pro projeveni zmen"	
MSG_TEMP_CAL_FAILED "Teplotni kalibrace selhala"
MSG_TEMP_CALIBRATION "Tepl. kal.          "
MSG_TEMP_CALIBRATION_DONE "Teplotni kalibrace dokoncena a je nyni aktivni. Teplotni kalibraci je mozno deaktivovat v menu Nastaveni->Tepl. kal."
MSG_TEMP_CALIBRATION_OFF "Tepl. kal.  [vyp]"
MSG_TEMP_CALIBRATION_ON "Tepl. kal.  [zap]"
MSG_TEMPERATURE "Teplota"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_OFF "SD card  [normal]"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_ON "SD card [FlshAir]"
MSG_TUNE "Ladit"
MSG_UNLOAD_ALL "Vyjmout vse"
MSG_UNLOAD_FILAMENT "Vyjmout filament"
MSG_UNLOAD_FILAMENT_1 "Vyjmout filam. 1"
MSG_UNLOAD_FILAMENT_2 "Vyjmout filam. 2"
MSG_UNLOAD_FILAMENT_3 "Vyjmout filam. 3"
MSG_UNLOAD_FILAMENT_4 "Vyjmout filam. 4"
MSG_UNLOAD_SUCCESSFUL "Bylo vysunuti filamentu uspesne?"
MSG_UNLOADING_FILAMENT "Vysouvam filament"
MSG_USB_PRINTING "Tisk z USB  "
MSG_USED "Pouzite behem tisku"
MSG_USERWAIT "Wait for user..."
MSG_V2_CALIBRATION "Kal. prvni vrstvy"
MSG_VOLUMETRIC "Filament"
MSG_VOLUMETRIC_ENABLED "E in mm3"
MSG_WAITING_TEMP "Cekani na zchladnuti trysky a podlozky."
MSG_WAITING_TEMP_PINDA "Cekani na zchladnuti PINDA"
MSG_WATCH "Informace"
MSG_WIZARD "Wizard"
MSG_WIZARD_CALIBRATION_FAILED "Prosim nahlednete do manualu a opravte problem. Po te obnovte Wizarda rebootovanim tiskarny."
MSG_WIZARD_CLEAN_HEATBED "Prosim ocistete heatbed a stisknete tlacitko."
MSG_WIZARD_DONE "Vse je hotovo."
MSG_WIZARD_FILAMENT_LOADED "Je filament zaveden?"
MSG_WIZARD_HEATING "Predehrivam trysku. Prosim cekejte."
MSG_WIZARD_INSERT_CORRECT_FILAMENT "Prosim zavedte PLA filament a po te obnovte Wizarda stisknutim reset tlacitka."
MSG_WIZARD_LOAD_FILAMENT "Prosim vlozte PLA filament do extruderu, po te stisknete tlacitko pro zavedeni filamentu."
MSG_WIZARD_PLA_FILAMENT "Je to PLA filament?"		
MSG_WIZARD_QUIT "Wizarda muzete kdykoliv znovu spustit z menu Calibration -> Wizard"
MSG_WIZARD_REPEAT_V2_CAL "Chcete opakovat posledni krok a pozmenit vzdalenost mezi tryskou a heatbed?"
MSG_WIZARD_RERUN "Spusteni Wizarda vymaze ulozene vysledky vsech kalibraci a spusti kalibracni proces od zacatku. Pokracovat?"
MSG_WIZARD_SELFTEST "Nejdriv pomoci selftestu zkontoluji nejcastejsi chyby vznikajici pri sestaveni tiskarny."
MSG_WIZARD_V2_CAL "Nyni zkalibruji vzdalenost mezi koncem trysky a povrchem heatbedu."
MSG_WIZARD_V2_CAL_2 "Zacnu tisknout linku a Vy budete postupne snizovat trysku otacenim tlacitka dokud nedosahnete optimalni vysky. Prohlednete si obrazky v nasi prirucce v kapitole Kalibrace"
MSG_WIZARD_WELCOME "Dobry den, jsem vase tiskarna Original Prusa i3. Chcete abych Vas provedla kalibracnim procesem?"
MSG_WIZARD_WILL_PREHEAT "Nyni predehreji trysku pro PLA."
MSG_WIZARD_XYZ_CAL "Nyni provedu xyz kalibraci. Zabere to priblizne 12 min."
MSG_WIZARD_Z_CAL "Nyni provedu z kalibraci."
MSG_XYZ_DETAILS "Detaily XYZ kal."
MSG_Y_DISTANCE_FROM_MIN "Y vzdalenost od min:"
MSG_YES "Ano"
WELCOME_MSG CUSTOM_MENDEL_NAME " ok"
