MSG_ADJUSTZ "Autoregolare Z?"
MSG_CALIBRATION_PINDA_MENU "Taratura temp."
MSG_CARD_MENU "Stampa da SD"
MSG_CLEAN_NOZZLE_E "Calibrazione E terminata. Si prega di pulire l'ugello. Click per continuare."
MSG_CNG_SDCARD "Change SD card"
MSG_CONFIGURATION_VER " Last Updated: "
MSG_CONFIRM_CARRIAGE_AT_THE_TOP "I carrelli Z sin/des sono altezza max?"
MSG_CONFIRM_NOZZLE_CLEAN "Pulire l'ugello per la calibrazione, poi fare click."
MSG_CONFIRM_NOZZLE_CLEAN_FIL_ADJ "I filamenti sono regolati. Si prega di pulire l'ugello per la calibrazione. Click per continuare."
MSG_COOLDOWN "Raffredda"
MSG_CORRECTLY "Cambiato corr.?"
MSG_CURRENT "Attuale"
MSG_DATE "Data"
MSG_DISABLE_STEPPERS "Disabilit motori"
MSG_DWELL "Sospensione..."
MSG_E_CAL_KNOB "Girare la manopola affinche' il segno raggiunga il corpo dell'estrusore. Click per continuare."
MSG_END_FILE_LIST "End file list"
MSG_ENDSTOP_HIT "TRIGGERED"
MSG_ENDSTOP_OPEN "open"
MSG_ENDSTOPS_HIT "endstops hit: "
MSG_Enqueing "enqueing \""
MSG_ERR_COLD_EXTRUDE_STOP " cold extrusion prevented"
MSG_ERR_CHECKSUM_MISMATCH "checksum mismatch, Last Line: "
MSG_ERR_KILLED "Printer halted. kill() called!"
MSG_ERR_NO_CHECKSUM "No Checksum with line number, Last Line: "
MSG_ERR_NO_THERMISTORS "No thermistors - no temperature"
MSG_ERR_STOPPED "Printer stopped due to errors. Fix the error and use M999 to restart. (Temperature is reset. Set it after restarting)"
MSG_ERROR "ERRORE:"
MSG_EXTRUDER "Estrusore"
MSG_EXTRUDER_1 "Estrusore 1"
MSG_EXTRUDER_2 "Estrusore 2"
MSG_EXTRUDER_3 "Estrusore 3"
MSG_EXTRUDER_4 "Estrusore 4"
MSG_FAN_SPEED "Velocita vent."
MSG_FIL_ADJUSTING "Filamento in fase di regolazione. Attendere prego."
MSG_FILAMENT_CLEAN "Il colore e' nitido?"
MSG_FILAMENT_LOADING_T0 "Inserire filamento nell'estrusore 1. Click per continuare."
MSG_FILAMENT_LOADING_T1 "Inserire filamento nell'estrusore 2. Click per continuare."
MSG_FILAMENT_LOADING_T2 "Inserire filamento nell'estrusore 3. Click per continuare."
MSG_FILAMENT_LOADING_T3 "Inserire filamento nell'estrusore 4. Click per continuare."
MSG_FILAMENTCHANGE "Camb. filamento"
MSG_FIND_BED_OFFSET_AND_SKEW_ITERATION "Reiterazione "
MSG_FIND_BED_OFFSET_AND_SKEW_LINE1 "Ricerca del letto punto di calibraz."
MSG_FIND_BED_OFFSET_AND_SKEW_LINE2 " su 4"
MSG_FINISHING_MOVEMENTS "Arresto in corso"
MSG_FLOW "Flusso"
MSG_FOLLOW_CALIBRATION_FLOW "Stampante ancora non calibrata. Si prega di seguire il manuale, capitolo PRIMI PASSI, sezione della calibrazione."
MSG_FREE_MEMORY " Free Memory: "
MSG_HEATING "Riscaldamento..."
MSG_HEATING_COMPLETE "Riscald. completo"
MSG_HOMEYZ "Calibra Z"
MSG_HOMEYZ_DONE "Calibrazione OK"
MSG_HOMEYZ_PROGRESS "Calibrando Z"
MSG_CHANGE_EXTR "Cambio estrusore."
MSG_CHANGE_SUCCESS "Cambio riuscito!"
MSG_CHANGING_FILAMENT "Cambiando filam."
MSG_CHOOSE_EXTRUDER "Seleziona estrusore:"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE1 "Perfezion. il letto punto di calibraz."
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE2 " su 4"
MSG_INIT_SDCARD "Init. SD card"
MSG_INSERT_FILAMENT "Inserire filamento"
MSG_KILLED "IN TILT."
MSG_LANGUAGE_NAME "Italiano"
MSG_LANGUAGE_SELECT "Seleziona lingua"
MSG_LEFT "Sinistra:"
MSG_LOAD_ALL "Caricare tutti"
MSG_LOAD_EPROM "Load memory"
MSG_LOAD_FILAMENT "Carica filamento"
MSG_LOAD_FILAMENT_1 "Caricare fil. 1"
MSG_LOAD_FILAMENT_2 "Caricare fil. 2"
MSG_LOAD_FILAMENT_3 "Caricare fil. 3"
MSG_LOAD_FILAMENT_4 "Caricare fil. 4"
MSG_LOADING_COLOR "Caricando colore"
MSG_LOADING_FILAMENT "Caricando filam."
MSG_LOOSE_PULLEY "Puleggia lenta"
MSG_M104_INVALID_EXTRUDER "M104 Invalid extruder "
MSG_M105_INVALID_EXTRUDER "M105 Invalid extruder "
MSG_M109_INVALID_EXTRUDER "M109 Invalid extruder "
MSG_M117_V2_CALIBRATION "M117 Cal. primo layer."
MSG_M119_REPORT "Reporting endstop status"
MSG_M200_INVALID_EXTRUDER "M200 Invalid extruder "
MSG_M218_INVALID_EXTRUDER "M218 Invalid extruder "
MSG_M221_INVALID_EXTRUDER "M221 Invalid extruder "
MSG_MAIN "Menu principale"
MSG_MARK_FIL "Segnare il filamento a 100 mm di distanza dal corpo dell'estrusore. Click per continuare."
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE1 "Misurare l'altezza di riferimento del punto di calibrazione"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE2 " su 9"
MSG_MEASURED_SKEW "Incl. misurata:"
MSG_MENU_CALIBRATION "Calibrazione"
MSG_MESH_BED_LEVELING "Mesh livel. letto"
MSG_MOTION "Motion"
MSG_MOVE_01MM "Move 0.1mm"
MSG_MOVE_10MM "Move 10mm"
MSG_MOVE_1MM "Move 1mm"
MSG_MOVE_AXIS "Muovi asse"
MSG_MOVE_CARRIAGE_TO_THE_TOP "Calibrazione XYZ. Ruotare la manopola per alzare il carrello Z fino all'altezza massima. Click per terminare."
MSG_MOVE_CARRIAGE_TO_THE_TOP_Z "Calibrazione Z. Ruotare la manopola per alzare il carrello Z fino all'altezza massima. Click per terminare."
MSG_MOVE_E "Muovi Estrusore"
MSG_MOVE_X "Muovi X"
MSG_MOVE_Y "Muovi Y"
MSG_MOVE_Z "Muovi Z"
MSG_NEW_FIRMWARE_AVAILABLE "Nuova versione del firmware disponibile"
MSG_NEW_FIRMWARE_PLEASE_UPGRADE "Prega aggiorna."
MSG_NO "No"
MSG_NO_CARD "Nessuna SD"
MSG_NO_MOVE "Nessun movimento."
MSG_NOT_COLOR "Colore non puro"
MSG_NOT_LOADED "Fil. non caricato"
MSG_NOZZLE "Ugello"
MSG_NOZZLE1 "Nozzle2"
MSG_NOZZLE2 "Nozzle3"
MSG_OK "ok"
MSG_PAPER "Porre un foglio sotto l'ugello durante la calibrazione dei primi 4 punti. In caso l'ugello muova il foglio spegnere prontamente la stampante."
MSG_PAUSE_PRINT "Metti in pausa"
MSG_PICK_Z "Pick print"
MSG_PID_EXTRUDER "Calibrazione PID"
MSG_PID_FINISHED "Cal. PID completa"
MSG_PID_RUNNING "Cal. PID"
MSG_PINDA_NOT_CALIBRATED "Taratura della temperatura non ancora eseguita"
MSG_PINDA_PREHEAT "Riscald. PINDA"
MSG_PLA_FILAMENT_LOADED "Il PLA e stato caricato?"
MSG_PLANNER_BUFFER_BYTES "  PlannerBufferBytes: "
MSG_PLEASE_LOAD_PLA "Per favore prima caricare filamento di PLA."
MSG_PLEASE_WAIT "Aspetta"
MSG_POSITION_UNKNOWN "Home X/Y before Z"
MSG_POWERUP "PowerUp"
MSG_PREHEAT "Preriscalda"
MSG_PREHEAT_NOZZLE "Preris. ugello!"
MSG_PREPARE_FILAMENT "Preparare filamento"
MSG_PRESS "e cliccare manopola"
MSG_PRINT_ABORTED "Stampa abortita"
MSG_PRINT_PAUSED "Stampa in pausa"
MSG_PRUSA3D "prusa3d.com"
MSG_PRUSA3D_FORUM "forum.prusa3d.com"
MSG_PRUSA3D_HOWTO "howto.prusa3d.com"
MSG_REBOOT "Riavvia stampante"
MSG_REFRESH "\xF8" "Refresh"
MSG_RESEND "Resend: "
MSG_RESTORE_FAILSAFE "Restore failsafe"
MSG_RESUME_PRINT "Riprendi stampa"
MSG_RESUMING "Riprendi stampa"
MSG_RESUMING_PRINT "Stampa in ripresa"
MSG_RIGHT "Destra:"
MSG_SD_CANT_ENTER_SUBDIR "Cannot enter subdir: "
MSG_SD_CANT_OPEN_SUBDIR "Cannot open subdir"
MSG_SD_CARD_OK "SD card ok"
MSG_SD_ERR_WRITE_TO_FILE "error writing to file"
MSG_SD_FILE_OPENED "File opened: "
MSG_SD_FILE_SELECTED "File selected"
MSG_SD_INIT_FAIL "SD init fail"
MSG_SD_INSERTED "SD inserita"
MSG_SD_NOT_PRINTING "Not SD printing"
MSG_SD_OPEN_FILE_FAIL "open failed, File: "
MSG_SD_OPENROOT_FAIL "openRoot failed"
MSG_SD_PRINTING_BYTE "SD printing byte "
MSG_SD_REMOVED "SD rimossa"
MSG_SD_VOL_INIT_FAIL "volume.init failed"
MSG_SD_WORKDIR_FAIL "workDir open failed"
MSG_SD_WRITE_TO_FILE "Writing to file: "
MSG_SELFTEST "Autotest"
MSG_SELFTEST_BEDHEATER "Letto/Riscald."
MSG_SELFTEST_COOLING_FAN "Vent di stampa ant.?"
MSG_SELFTEST_ENDSTOP "Finecorsa"
MSG_SELFTEST_ENDSTOP_NOTHIT "Finec. fuori por."
MSG_SELFTEST_ENDSTOPS "Finecorsa (2)"
MSG_SELFTEST_ERROR "Autotest negativo"
MSG_SELFTEST_EXTRUDER_FAN "Vent SX sull'ugello?"
MSG_SELFTEST_FAILED "Autotest fallito"
MSG_SELFTEST_FAN "Prova del ventilator"
MSG_SELFTEST_FAN_NO "Non si gira"
MSG_SELFTEST_FAN_YES "Gira"
MSG_SELFTEST_HEATERTHERMISTOR "Riscald./Termist."
MSG_SELFTEST_CHECK_ALLCORRECT "Nessun errore"
MSG_SELFTEST_CHECK_BED "Verifica letto"
MSG_SELFTEST_CHECK_ENDSTOPS "Verifica finecorsa"
MSG_SELFTEST_CHECK_HOTEND "Verifica ugello"  
MSG_SELFTEST_CHECK_X "Verifica asse X"
MSG_SELFTEST_CHECK_Y "Verifica asse Y"
MSG_SELFTEST_CHECK_Z "Verifica asse Z"
MSG_SELFTEST_MOTOR "Motore"
MSG_SELFTEST_NOTCONNECTED "Non connesso"
MSG_SELFTEST_OK "Autotest OK"
MSG_SELFTEST_PLEASECHECK "Verificare:"	
MSG_SELFTEST_START "Avvia autotest"
MSG_SELFTEST_WIRINGERROR "Errore cablaggio"
MSG_SERIAL_ERROR_MENU_STRUCTURE "Error in menu structure"
MSG_SET_HOME_OFFSETS "Set home offsets"
MSG_SET_ORIGIN "Set origin"
MSG_SET_TEMPERATURE "Imposta temperatura"
MSG_SETTINGS "Impostazioni"
MSG_SEVERE_SKEW "Inc. rilevante:"
MSG_SHOW_END_STOPS "Stato finecorsa"
MSG_SILENT_MODE_OFF "Mode      [forte]" 
MSG_SILENT_MODE_ON "Modo [silenzioso]"
MSG_SLIGHT_SKEW "Incl. leggera:"
MSG_SPEED "Velocita"
MSG_STATISTICS "Statistiche"
MSG_STATS_FILAMENTUSED "Filamento usato:"
MSG_STATS_PRINTTIME "Tempo di stampa:"
MSG_STATS_TOTALFILAMENT "Filamento tot:"
MSG_STATS_TOTALPRINTTIME "Tempo stampa tot:"
MSG_STEPPER_TOO_HIGH "Steprate too high: "
MSG_STOP_PRINT "Arresta stampa"
MSG_STOPPED "ARRESTATO."
MSG_STORE_EPROM "Store memory"
MSG_SUPPORT "Support"
MSG_SWITCH_PS_OFF "Switch power off"
MSG_SWITCH_PS_ON "Switch power on"
MSG_TAKE_EFFECT " per attualizzare"
MSG_TEMP_CALIBRATION "Cal. temp.          "
MSG_TEMP_CALIBRATION_DONE "Taratura temperatura terminata. Fare click per continuare."
MSG_TEMP_CALIBRATION_OFF "Cal. temp. [OFF]"
MSG_TEMP_CALIBRATION_ON "Cal. temp. [ON]"
MSG_TEMPERATURE "Temperatura"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_OFF "SD card [normal]"
MSG_TOSHIBA_FLASH_AIR_COMPATIBILITY_ON "SD card [FlshAir]"
MSG_TUNE "Regola"
MSG_UNLOAD_ALL "Rilasciare tutti"
MSG_UNLOAD_FILAMENT "Scarica filamento"
MSG_UNLOAD_FILAMENT_1 "Rilasciare fil. 1"
MSG_UNLOAD_FILAMENT_2 "Rilasciare fil. 1"
MSG_UNLOAD_FILAMENT_3 "Rilasciare fil. 1"
MSG_UNLOAD_FILAMENT_4 "Rilasciare fil. 1"
MSG_UNLOADING_FILAMENT "Rilasc. filamento"
MSG_USB_PRINTING "Stampa da USB"
MSG_USED "Usati nella stampa"
MSG_USERWAIT "Attendendo utente"
MSG_V2_CALIBRATION "Cal. primo layer."
MSG_VOLUMETRIC "Filament"
MSG_VOLUMETRIC_ENABLED "E in mm3"
MSG_WAITING_TEMP "In attesa del raffreddamento della testina e del piatto"
MSG_WATCH "Schermata info"
MSG_WIZARD "Wizard"
MSG_WIZARD_CALIBRATION_FAILED "Per favore consulta il nostro manuale per risolvere il problema. Poi riprendi il Wizard dopo aver riavviato la stampante."
MSG_WIZARD_CLEAN_HEATBED "Per favore pulisci il piatto, poi premi la manopola."
MSG_WIZARD_DONE "Ben fatto. Buona stampa!"
MSG_WIZARD_FILAMENT_LOADED "Il filamento e stato caricato?"
MSG_WIZARD_HEATING "Sto preriscaldando l'ugello. Per favore attendi."
MSG_WIZARD_INSERT_CORRECT_FILAMENT "Per favore carica filamento di PLA e riprendi il Wizard dopo aver riavviato la stampante."
MSG_WIZARD_LOAD_FILAMENT "Per favore inserisci il filamento di PLA nell'estrusore, poi premi la manopola per caricare."
MSG_WIZARD_PLA_FILAMENT "E questo un filamento di PLA?"
MSG_WIZARD_QUIT "E possibile proseguire la guide Wizard in qualsiasi momento attraverso Calibrazione -> Wizard."
MSG_WIZARD_REPEAT_V2_CAL "Desideri ripetere l'ultimo passaggio per migliorare la distanza fra ugello e piatto?"
MSG_WIZARD_RERUN "Se avvi il Wizard perderai la calibrazione preesistente e dovrai ricominciare dall'inizio. Continuare?"
MSG_WIZARD_SELFTEST "Anzitutto avviero il Self Test per controllare gli errori di assemblaggio piu comuni."
MSG_WIZARD_V2_CAL "Adesso tarero lo stacco fra ugello e superfice del piatto."
MSG_WIZARD_V2_CAL_2 "Adesso iniziero a stampare una linea e tu dovrai abbassare l'ugello poco per volta ruotando la manopola sino a raggiungere una altezza ottimale. Per favore dai uno sguardo all'immagine del nostro manuale, cap.Calibrazione."
MSG_WIZARD_WELCOME "Ciao, sono la tua stampante Original Prusa i3. Gradiresti aiuto attraverso il processo di configurazione?"
MSG_WIZARD_WILL_PREHEAT "Adesso preriscaldero l'ugello per PLA."
MSG_WIZARD_XYZ_CAL "Adesso avviero una Calibrazione XYZ. Puo durare circa 12 min."
MSG_WIZARD_Z_CAL "Adesso avviero una Calibrazione Z."
MSG_XYZ_DETAILS "XYZ Cal. dettagli"
MSG_Y_DISTANCE_FROM_MIN "Distanza Y da min:"
MSG_YES "Si"
MSG_ZPROBE_OUT "Z probe out. bed"
MSG_ZPROBE_ZOFFSET "Z Offset"
WELCOME_MSG CUSTOM_MENDEL_NAME " pronta."
